communication	84.0 0.01 0.01 0.01 0.01
unified	46.0 0.01 0.01 0.01 0.01
system	45.0 0.01 0.01 0.01 0.01
services	37.0 0.01 0.01 0.01 0.01
unified_communication	27.0 0.01 0.01 0.01 0.01
framework	24.0 0.01 0.01 0.01 0.01
using	22.0 0.01 0.01 0.01 0.01
communications	21.0 0.01 0.01 0.01 0.01
systems	21.0 0.01 0.01 0.01 0.01
architecture	21.0 0.01 0.01 0.01 0.01
service	20.0 0.01 0.01 0.01 0.01
applications	20.0 0.01 0.01 0.01 0.01
based	20.0 0.01 0.01 0.01 0.01
paper	19.0 0.01 0.01 0.01 0.01
virtual	18.0 0.01 0.01 0.01 0.01
networks	17.0 0.01 0.01 0.01 0.01
hardware	16.0 0.01 0.01 0.01 0.01
data	15.0 0.01 0.01 0.01 0.01
user	13.0 0.01 0.01 0.01 0.01
chat	12.0 0.01 0.01 0.01 0.01
integration	11.0 0.01 0.01 0.01 0.01
design	11.0 0.01 0.01 0.01 0.01
call	10.0 0.01 0.01 0.01 0.01
platform	10.0 0.01 0.01 0.01 0.01
interfaces	10.0 0.01 0.01 0.01 0.01
proposed	10.0 0.01 0.01 0.01 0.01
article	9.0 0.01 0.01 0.01 0.01
approach	9.0 0.01 0.01 0.01 0.01
protocol	9.0 0.01 0.01 0.01 0.01
internet	8.0 0.01 0.01 0.01 0.01
communication	0.01 25.0 0.01 0.01 0.01
applications	0.01 19.0 0.01 0.01 0.01
data	0.01 12.0 0.01 0.01 0.01
open	0.01 12.0 0.01 0.01 0.01
proposed	0.01 12.0 0.01 0.01 0.01
unified	0.01 11.0 0.01 0.01 0.01
approach	0.01 10.0 0.01 0.01 0.01
paper	0.01 10.0 0.01 0.01 0.01
two	0.01 9.0 0.01 0.01 0.01
shmem	0.01 8.0 0.01 0.01 0.01
scheduling	0.01 8.0 0.01 0.01 0.01
application	0.01 8.0 0.01 0.01 0.01
platform	0.01 8.0 0.01 0.01 0.01
based	0.01 8.0 0.01 0.01 0.01
mobile	0.01 8.0 0.01 0.01 0.01
will	0.01 8.0 0.01 0.01 0.01
model	0.01 8.0 0.01 0.01 0.01
open_shmem	0.01 7.0 0.01 0.01 0.01
mpi	0.01 7.0 0.01 0.01 0.01
algorithm	0.01 7.0 0.01 0.01 0.01
performance	0.01 7.0 0.01 0.01 0.01
improve	0.01 6.0 0.01 0.01 0.01
mapping	0.01 6.0 0.01 0.01 0.01
sensor	0.01 6.0 0.01 0.01 0.01
network	0.01 6.0 0.01 0.01 0.01
software	0.01 6.0 0.01 0.01 0.01
implementation	0.01 6.0 0.01 0.01 0.01
test	0.01 5.0 0.01 0.01 0.01
used	0.01 5.0 0.01 0.01 0.01
level	0.01 5.0 0.01 0.01 0.01
communication	0.01 0.01 56.0 0.01 0.01
network	0.01 0.01 32.0 0.01 0.01
system	0.01 0.01 32.0 0.01 0.01
smart	0.01 0.01 26.0 0.01 0.01
grid	0.01 0.01 23.0 0.01 0.01
model	0.01 0.01 21.0 0.01 0.01
smart_grid	0.01 0.01 20.0 0.01 0.01
control	0.01 0.01 14.0 0.01 0.01
systems	0.01 0.01 13.0 0.01 0.01
applications	0.01 0.01 13.0 0.01 0.01
design	0.01 0.01 13.0 0.01 0.01
paper	0.01 0.01 13.0 0.01 0.01
management	0.01 0.01 12.0 0.01 0.01
devices	0.01 0.01 12.0 0.01 0.01
architecture	0.01 0.01 12.0 0.01 0.01
requirements	0.01 0.01 12.0 0.01 0.01
used	0.01 0.01 11.0 0.01 0.01
ethernet	0.01 0.01 11.0 0.01 0.01
power	0.01 0.01 10.0 0.01 0.01
data	0.01 0.01 10.0 0.01 0.01
layer	0.01 0.01 9.0 0.01 0.01
real-time	0.01 0.01 9.0 0.01 0.01
based	0.01 0.01 9.0 0.01 0.01
warp	0.01 0.01 8.0 0.01 0.01
distribution	0.01 0.01 8.0 0.01 0.01
functions	0.01 0.01 8.0 0.01 0.01
networks	0.01 0.01 8.0 0.01 0.01
communications	0.01 0.01 8.0 0.01 0.01
intelligent	0.01 0.01 8.0 0.01 0.01
technology	0.01 0.01 8.0 0.01 0.01
communication	0.01 0.01 0.01 20.0 0.01
allows	0.01 0.01 0.01 11.0 0.01
processes	0.01 0.01 0.01 9.0 0.01
paper	0.01 0.01 0.01 9.0 0.01
systems	0.01 0.01 0.01 8.0 0.01
business	0.01 0.01 0.01 8.0 0.01
context	0.01 0.01 0.01 8.0 0.01
ontology	0.01 0.01 0.01 7.0 0.01
business_processes	0.01 0.01 0.01 7.0 0.01
collaboration	0.01 0.01 0.01 7.0 0.01
interaction	0.01 0.01 0.01 7.0 0.01
computing	0.01 0.01 0.01 6.0 0.01
data	0.01 0.01 0.01 6.0 0.01
system	0.01 0.01 0.01 6.0 0.01
correlations	0.01 0.01 0.01 5.0 0.01
problems	0.01 0.01 0.01 5.0 0.01
human	0.01 0.01 0.01 5.0 0.01
users	0.01 0.01 0.01 5.0 0.01
people	0.01 0.01 0.01 5.0 0.01
behavior	0.01 0.01 0.01 5.0 0.01
support	0.01 0.01 0.01 5.0 0.01
pacs	0.01 0.01 0.01 5.0 0.01
user	0.01 0.01 0.01 5.0 0.01
analysis	0.01 0.01 0.01 5.0 0.01
knowledge	0.01 0.01 0.01 4.0 0.01
function	0.01 0.01 0.01 4.0 0.01
interoperability	0.01 0.01 0.01 4.0 0.01
synthesis	0.01 0.01 0.01 4.0 0.01
order	0.01 0.01 0.01 4.0 0.01
interacting	0.01 0.01 0.01 4.0 0.01
performance	0.01 0.01 0.01 0.01 32.0
network	0.01 0.01 0.01 0.01 22.0
using	0.01 0.01 0.01 0.01 15.0
communication	0.01 0.01 0.01 0.01 13.0
high	0.01 0.01 0.01 0.01 11.0
transport	0.01 0.01 0.01 0.01 10.0
channel	0.01 0.01 0.01 0.01 10.0
sockets	0.01 0.01 0.01 0.01 9.0
memcached	0.01 0.01 0.01 0.01 9.0
health	0.01 0.01 0.01 0.01 9.0
efficient	0.01 0.01 0.01 0.01 9.0
unified	0.01 0.01 0.01 0.01 9.0
protocol	0.01 0.01 0.01 0.01 9.0
rdma	0.01 0.01 0.01 0.01 8.0
memory	0.01 0.01 0.01 0.01 8.0
cross-layer	0.01 0.01 0.01 0.01 8.0
design	0.01 0.01 0.01 0.01 8.0
analysis	0.01 0.01 0.01 0.01 8.0
factor	0.01 0.01 0.01 0.01 7.0
best	0.01 0.01 0.01 0.01 7.0
wireless	0.01 0.01 0.01 0.01 7.0
used	0.01 0.01 0.01 0.01 7.0
bandwidth	0.01 0.01 0.01 0.01 7.0
access	0.01 0.01 0.01 0.01 7.0
scalability	0.01 0.01 0.01 0.01 7.0
mem_cached	0.01 0.01 0.01 0.01 6.0
cached	0.01 0.01 0.01 0.01 6.0
mem	0.01 0.01 0.01 0.01 6.0
xlp	0.01 0.01 0.01 0.01 6.0
channel_capacity	0.01 0.01 0.01 0.01 6.0
