probability	6.0 0.01 0.01 0.01 0.01
expressions	5.0 0.01 0.01 0.01 0.01
form	5.0 0.01 0.01 0.01 0.01
keying	4.0 0.01 0.01 0.01 0.01
rayleigh	4.0 0.01 0.01 0.01 0.01
communication	0.01 13.0 0.01 0.01 0.01
messaging	0.01 4.0 0.01 0.01 0.01
system	0.01 4.0 0.01 0.01 0.01
user	0.01 4.0 0.01 0.01 0.01
equations	0.01 3.0 0.01 0.01 0.01
detection	0.01 0.01 5.0 0.01 0.01
fading	0.01 0.01 5.0 0.01 0.01
q-function	0.01 0.01 4.0 0.01 0.01
methods	0.01 0.01 3.0 0.01 0.01
functions	0.01 0.01 3.0 0.01 0.01
controlled_indexing	0.01 0.01 0.01 8.0 0.01
indexing	0.01 0.01 0.01 8.0 0.01
controlled	0.01 0.01 0.01 8.0 0.01
analysis	0.01 0.01 0.01 5.0 0.01
functions	0.01 0.01 0.01 5.0 0.01
relay	0.01 0.01 0.01 0.01 14.0
matrix	0.01 0.01 0.01 0.01 8.0
channels	0.01 0.01 0.01 0.01 7.0
precoding_matrix	0.01 0.01 0.01 0.01 4.0
precoding	0.01 0.01 0.01 0.01 4.0
